,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL609737,30.5585365445,-33.2518840548,1,4,4,4
CHEMBL609738,32.9531736054,-32.779577531,1,4,4,4
CHEMBL609739,26.3312677187,-30.7821854332,1,4,4,4
CHEMBL609740,30.9507386223,-34.3999470841,1,4,4,4
CHEMBL609741,25.1693263409,-30.1591842138,1,4,4,4
CHEMBL609742,31.2016269599,-31.5126171774,1,4,4,4
CHEMBL609743,30.4343469999,-32.1598108358,1,4,4,4
CHEMBL609991,29.59966389,-34.6034307572,1,4,4,4
CHEMBL609992,28.3786032187,-31.4224858134,1,4,4,4
CHEMBL609993,29.4116250893,-34.1521297016,1,4,4,4
CHEMBL609994,26.6644354219,-31.2838912141,1,4,4,4
CHEMBL609995,27.9619267835,-31.3259785518,1,4,4,4
CHEMBL609996,30.8141104579,-33.562891433,1,4,4,4
CHEMBL610253,31.0023259186,-34.9290990779,1,4,4,4
CHEMBL610254,27.3197744792,-32.0170808496,1,4,4,4
CHEMBL610255,31.9819456296,-31.6501143136,1,4,4,4
CHEMBL610256,37.888022923,20.7629306498,4,4,3,2
CHEMBL610257,30.5405113968,-32.1918006514,1,4,4,4
CHEMBL610258,26.6936089451,-29.2898108395,1,4,4,4
CHEMBL610259,25.5208803195,-30.8895774888,1,4,4,4
CHEMBL61318,31.3299280861,20.291008012,4,4,4,1
CHEMBL62193,-33.4907839367,-16.8331951612,3,3,2,4
CHEMBL62368,-36.0332899445,18.1271463592,4,4,4,0
CHEMBL62538,-34.7040717552,20.5477768815,4,4,0,0
CHEMBL62594,-34.9495861774,18.3714388588,4,4,0,0
CHEMBL629,24.2280545054,13.9613954863,3,3,2,2
CHEMBL631,12.162543765,5.07173717267,3,4,4,3
CHEMBL6310,-1.44328224315,-14.6497643186,1,4,2,2
CHEMBL633,15.8783088741,8.16433607602,1,4,3,2
CHEMBL64249,30.5261688597,10.5490752604,3,3,2,0
CHEMBL643,32.5440237345,6.02763956394,3,4,2,2
CHEMBL6437,26.3969911114,-3.91818618963,4,2,4,1
CHEMBL64715,-33.6789389588,17.3477486856,4,4,4,1
CHEMBL6640,0.570168926227,-17.8438512234,1,4,2,2
CHEMBL69257,1.56474751111,-3.30443983942,2,4,3,4
CHEMBL708,47.2987339292,-3.97645300861,1,3,3,4
CHEMBL71,34.9122184699,5.25958257118,3,4,2,2
CHEMBL7143,-1.22960613484,-12.2772084851,1,4,2,2
CHEMBL715,29.9213076807,15.4900056241,3,4,3,1
CHEMBL716,28.5828818089,13.6822049274,3,4,3,0
CHEMBL7166,-3.63970769486,-8.43992469651,3,0,2,2
CHEMBL71707,10.3782008542,-6.93516386359,3,4,4,4
CHEMBL7172,-2.74047157062,-10.0030843058,3,0,2,2
CHEMBL7173,-2.72303696457,-8.93415649802,3,4,2,2
CHEMBL7220,-3.50049142816,-9.24137087379,3,4,2,2
CHEMBL7228,-7.5032281585,-13.116340284,1,4,2,2
CHEMBL723,12.2399891739,5.02533827472,1,4,3,4
CHEMBL72554,-14.1798259891,21.2080256876,3,0,1,1
CHEMBL7257,-7.2285149384,-14.7538163697,3,4,2,2
CHEMBL72574,-8.16823391504,21.1699976169,3,0,1,0
CHEMBL726,34.0375187653,5.82171010081,3,4,2,2
CHEMBL728,32.9466448011,5.62251096383,3,4,2,2
CHEMBL7318,-1.94289533921,-12.8853285875,1,4,2,1
CHEMBL7379,-1.36357099678,-12.3289826649,1,4,2,2
CHEMBL73967,-18.0467711936,-31.0933216573,4,2,4,2
CHEMBL73979,12.3060759475,0.0929255011568,1,2,3,4
CHEMBL74378,-14.498004879,22.2306520048,3,0,1,0
CHEMBL74756,13.5289151131,0.338945902288,1,2,3,4
CHEMBL75010,-10.4022889043,21.4145679851,3,0,1,1
CHEMBL75029,-14.1818678441,19.9245197043,3,0,1,0
CHEMBL75734,-9.10319730896,18.7031497654,3,0,1,0
CHEMBL75758,-12.1989344756,19.3612428719,3,0,1,0
CHEMBL7580,0.502783650262,-13.5215924967,1,4,2,2
CHEMBL762,25.7019813045,28.5523811454,1,4,3,2
CHEMBL76237,-10.6326331858,20.683228958,3,0,1,0
CHEMBL76466,-12.6699864787,20.9931911278,3,0,1,0
CHEMBL7732,-2.67597663695,-8.9335383583,3,0,2,2
CHEMBL77855,14.7123338907,0.330604148136,1,2,3,4
CHEMBL78218,13.819241253,0.599419722996,1,2,3,4
CHEMBL806,5.69090661757,2.09299690188,1,4,3,2
CHEMBL808,27.1150090237,24.0367692438,4,3,3,2
CHEMBL81,16.4975172274,7.32358999918,1,4,3,3
CHEMBL8165,-1.87803855403,-18.8535093895,1,4,2,2
CHEMBL83,15.4781256328,9.71979289574,3,4,3,2
CHEMBL831,29.7523842384,13.2796525963,3,3,3,0
CHEMBL85,42.425860779,-20.4587432615,1,3,3,4
CHEMBL85602,-2.18526839925,-2.97633996183,2,4,3,4
CHEMBL87385,28.5091083023,13.2105678182,3,4,2,2
CHEMBL900,-4.65882919548,-0.976493635751,2,2,3,0
CHEMBL908,26.6406926665,13.7607466381,3,3,2,2
CHEMBL91,25.6396534887,19.3328576527,4,3,3,2
CHEMBL92093,-9.77363974735,-14.1821179177,3,0,1,1
CHEMBL92139,-10.1130930292,29.7752485087,4,0,1,0
CHEMBL93240,28.9997954682,9.58142381132,3,4,2,0
CHEMBL93868,-10.494398719,26.6100129751,3,0,1,0
CHEMBL94093,-11.4366066641,25.8316071832,4,0,1,0
CHEMBL94422,-14.0453494539,30.2742977395,4,0,1,0
CHEMBL94569,-8.51854108623,21.267332644,3,0,1,0
CHEMBL94930,32.0608292554,24.914651438,4,4,3,2
CHEMBL94969,-2.23840789813,-8.20037164213,3,4,2,2
CHEMBL94988,34.7663395873,25.7052557739,4,4,3,2
CHEMBL95104,31.3249526312,2.9016001121,4,4,2,3
CHEMBL95136,1.7193541999,-28.2131112152,2,1,0,3
CHEMBL95285,33.3819465015,26.0975917688,4,4,3,2
CHEMBL95388,15.9639871851,31.8735598827,4,4,4,3
CHEMBL954,15.6638738621,8.40804200507,3,4,3,2
CHEMBL95504,34.2030553038,25.3742845682,4,4,3,2
CHEMBL95511,34.2702264184,25.815272277,4,4,3,2
CHEMBL95517,34.5891654499,24.5460981629,4,4,3,2
CHEMBL95568,19.2502738607,33.4065822986,4,4,4,3
CHEMBL95628,16.1570485781,32.228410034,4,4,4,3
CHEMBL95823,32.9419149121,26.2161246211,4,4,3,2
CHEMBL95878,14.1281349724,32.3380334656,4,4,4,3
CHEMBL96317,-34.3479383455,-18.2841164824,3,3,2,4
CHEMBL964,19.2982436927,-34.523235149,3,4,2,1
CHEMBL9666,-32.5320216363,23.1608502916,4,1,0,0
CHEMBL96729,-5.23859714798,-17.731917549,3,4,2,2
CHEMBL96745,-1.58869157963,30.7252998867,4,4,4,2
CHEMBL97017,-3.97286788147,-14.5030362581,3,4,2,2
CHEMBL97158,33.591273947,24.8509452392,4,4,3,2
CHEMBL97211,33.8467438901,24.4915933116,4,4,3,2
CHEMBL97492,-32.7708102676,-20.0756563592,3,3,2,4
CHEMBL97518,19.3986230232,-40.239306675,3,4,4,4
CHEMBL97596,13.4351766648,33.3174154511,4,4,4,3
CHEMBL97637,16.3646854909,32.0051769056,4,4,4,3
CHEMBL97819,-33.9711669392,-15.2067872133,3,3,2,4
CHEMBL97899,34.0873787812,24.3710379415,4,4,3,2
CHEMBL98237,-6.10705823246,-8.35777732954,3,4,3,2
CHEMBL98353,16.8677507867,32.7738946626,4,4,4,3
CHEMBL98404,-9.45367660024,29.4343546222,4,0,1,0
CHEMBL98511,-27.3686290956,1.63461186608,4,4,2,0
CHEMBL98965,33.0556269299,25.3368375017,4,4,3,2
CHEMBL99982,32.8920114002,25.5433705141,4,4,3,2
