,x,y,bac,bac_gtc,bac_murcko,bac_murcko_generic
CHEMBL1162942,-18.2134724935,4.55355302805,4,3,4,4
CHEMBL116827,-19.017825134,-7.79894000902,3,1,3,2
CHEMBL1169934,-18.148566192,-13.7969727138,1,4,1,0
CHEMBL1170129,-18.1596138587,-13.8762866302,1,4,1,0
CHEMBL1170130,-19.5058685751,-13.17477726,1,4,1,0
CHEMBL1170131,-19.0317795257,-12.7265136385,1,4,1,0
CHEMBL1170134,-18.2171942214,-13.3646260099,1,4,1,0
CHEMBL1170135,-18.2240591518,-13.1428087872,1,4,1,0
CHEMBL1170136,-18.2103309548,-13.4839442602,1,4,1,0
CHEMBL1170137,-18.2376928773,-13.3415221911,1,4,1,0
CHEMBL1170166,8.96932591278,-24.7654145716,0,2,0,3
CHEMBL1170295,-18.9416893099,-12.6710755654,1,4,1,0
CHEMBL1170367,-17.8478181683,-13.4565056774,1,4,1,0
CHEMBL1170518,-19.0779343539,-12.7021598293,1,4,1,0
CHEMBL1170519,-18.0371786862,-13.5221005511,1,4,1,0
CHEMBL1170525,-19.0389562109,-12.7972922477,1,4,1,0
CHEMBL1170526,-19.0287173513,-12.6975681195,1,4,1,0
CHEMBL1170582,-18.9594933842,-13.703114745,1,4,1,0
CHEMBL1170583,-18.1527106929,-13.5710653185,1,4,1,0
CHEMBL1171163,-17.7669969179,-13.3489157182,1,4,1,0
CHEMBL1171164,-17.381721328,-13.1260230664,1,4,1,4
CHEMBL1171165,-17.5207800582,-13.1193542625,1,4,1,4
CHEMBL1171200,-17.7903104212,-12.6305283033,1,4,1,0
CHEMBL1171349,-18.2200931748,-13.5108103792,1,4,1,0
CHEMBL1171379,7.47878635244,-18.2824713136,0,2,0,3
CHEMBL1171524,-19.0649966768,-12.8818945616,1,4,1,0
CHEMBL1171525,-18.9484759356,-12.74442459,1,4,1,0
CHEMBL1171526,-19.0184047917,-12.8873171458,1,4,1,0
CHEMBL1171718,-19.3733173277,-12.8693518433,1,4,1,0
CHEMBL1171897,-16.9394537685,-12.7773759968,1,4,1,0
CHEMBL1171898,-19.2141207089,-11.1250683658,1,4,1,0
CHEMBL1172267,-18.9923944681,-12.8487485421,1,4,1,0
CHEMBL1172268,-18.9840840177,-12.7100423504,1,4,1,0
CHEMBL1172269,-19.3776639819,-12.8641565271,1,4,1,0
CHEMBL1172274,-18.1892776591,-13.8822368343,1,4,1,0
CHEMBL1172275,-18.2009476439,-13.5608639901,1,4,1,0
CHEMBL1172276,-18.0878025684,-13.1637391267,1,4,1,0
CHEMBL1172277,-18.1415558581,-13.5864151683,1,4,1,0
CHEMBL1172442,-18.2530132986,-13.374740646,1,4,1,0
CHEMBL118164,-18.9353544083,-7.84004929541,3,1,3,2
CHEMBL119709,-0.615860429104,-0.766884870084,4,3,4,4
CHEMBL120662,-18.9076112215,-7.8587552554,3,1,3,2
CHEMBL1210734,-24.355489461,14.1338742418,1,1,2,0
CHEMBL121593,-18.8747360939,-7.84820002714,3,1,3,2
CHEMBL121793,-17.4669926154,-7.47537279662,3,1,3,2
CHEMBL1221455,-13.7255742339,-8.0795300716,1,1,1,0
CHEMBL1221456,-13.6936659802,-9.09420774879,1,1,1,2
CHEMBL1221457,-13.631521152,-9.12714532845,1,1,1,2
CHEMBL1221458,-13.6399061072,-9.15139204398,1,1,1,2
CHEMBL1221459,-13.6961921437,-8.68111051461,1,1,1,0
CHEMBL1221504,-13.6109886616,-9.12726770448,1,1,1,2
CHEMBL1221505,-13.1925202572,-7.80166502198,1,1,1,0
CHEMBL1221506,-12.3533816642,-8.61649437499,1,1,1,2
CHEMBL1221507,-12.7149081976,-8.13562907258,1,1,1,0
CHEMBL1221508,-12.3071515161,-8.6503475486,1,1,1,2
CHEMBL1222145,-14.0906720892,-7.30961291187,1,1,3,0
CHEMBL1222241,-14.0907499114,-7.32106983343,1,1,3,0
CHEMBL1222242,-13.9362514412,-7.41343706916,1,1,3,0
CHEMBL1222245,-13.9088072701,-7.43538938113,1,1,3,0
CHEMBL1222246,-13.4353066517,-7.85190918824,1,1,3,0
CHEMBL1222302,-12.9290557029,-9.01877049796,1,1,1,2
CHEMBL1222303,-12.8500346388,-9.04005746688,1,1,1,2
CHEMBL1222304,-12.9036226141,-9.07896979307,1,1,1,2
CHEMBL1222305,-13.0386643608,-8.41165190167,1,1,1,0
CHEMBL1222306,-12.8381972335,-9.03653654203,1,1,1,2
CHEMBL1222369,-13.4508635336,-7.77931570435,1,1,3,0
CHEMBL1222370,-12.7821598245,-9.03286866689,1,1,1,2
CHEMBL1222371,-12.8521265948,-9.08208833035,1,1,1,2
CHEMBL1222372,-13.0145929321,-8.32769542345,1,1,1,0
CHEMBL1222373,-12.7713649108,-9.02650441492,1,1,1,2
CHEMBL1222587,-12.2473482675,-8.68043489725,1,1,1,2
CHEMBL122396,-12.3745519433,14.1899935312,3,1,3,2
CHEMBL122622,-12.3365459043,14.1933528779,3,1,3,2
CHEMBL122806,-12.3382495878,14.1974892752,3,1,3,2
CHEMBL122819,10.3011048366,11.185290041,1,4,3,2
CHEMBL1234591,0.822080518857,3.95149096351,4,3,4,4
CHEMBL123462,10.3094934729,11.1909425861,1,4,3,2
CHEMBL1235128,1.16979333641,3.66852232476,4,3,4,4
CHEMBL123705,10.3159007012,11.1838081332,1,4,3,2
CHEMBL1242923,-15.2488660273,-12.7611765444,3,4,1,0
CHEMBL1242950,-2.15012120698,0.148098595588,3,4,3,1
CHEMBL124345,-12.3343755793,14.2036187033,3,1,3,2
