,,extra_tooltip,which,x,y
280,CHEMBL1255085,CHEMBL1255085,chembl,-43.7736854553,-31.5593147278
281,CHEMBL1255086,CHEMBL1255086,chembl,-43.2027206421,-30.709777832
282,CHEMBL12562,CHEMBL12562,chembl,10.2860612869,-80.8566970825
283,CHEMBL1257144,CHEMBL1257144,chembl,-39.6672096252,34.2544212341
284,CHEMBL1257145,CHEMBL1257145,chembl,-37.3392524719,35.2475357056
285,CHEMBL1257146,CHEMBL1257146,chembl,-39.0064506531,28.9182910919
286,CHEMBL1257147,CHEMBL1257147,chembl,-39.2201576233,28.7970714569
287,CHEMBL1257261,CHEMBL1257261,chembl,-39.0489692688,33.9503631592
288,CHEMBL1257262,CHEMBL1257262,chembl,-39.3358726501,38.1440200806
289,CHEMBL1257263,CHEMBL1257263,chembl,-42.5211868286,33.8024177551
290,CHEMBL1257264,CHEMBL1257264,chembl,-41.9453353882,34.4979248047
291,CHEMBL1257382,CHEMBL1257382,chembl,-39.9332389832,37.9987831116
292,CHEMBL1257383,CHEMBL1257383,chembl,-41.2458572388,39.3873786926
293,CHEMBL1257384,CHEMBL1257384,chembl,-42.7725601196,33.9684028625
294,CHEMBL1257385,CHEMBL1257385,chembl,-42.2098503113,34.7388114929
295,CHEMBL1257492,CHEMBL1257492,chembl,-41.3340530396,39.3464241028
296,CHEMBL1257493,CHEMBL1257493,chembl,-42.7691040039,37.6586151123
297,CHEMBL1257494,CHEMBL1257494,chembl,-33.0913696289,33.8953666687
298,CHEMBL1257495,CHEMBL1257495,chembl,-32.5696907043,32.9969482422
299,CHEMBL1257613,CHEMBL1257613,chembl,-39.2058029175,37.6513290405
300,CHEMBL1257614,CHEMBL1257614,chembl,-40.0989112854,37.4883041382
301,CHEMBL1257615,CHEMBL1257615,chembl,-33.3911590576,33.6830177307
302,CHEMBL1257616,CHEMBL1257616,chembl,-32.9180107117,32.8259468079
303,CHEMBL1257734,CHEMBL1257734,chembl,-37.6579551697,37.9634094238
304,CHEMBL1257735,CHEMBL1257735,chembl,-37.6854629517,38.0621757507
305,CHEMBL1257736,CHEMBL1257736,chembl,-33.0355262756,33.9109687805
306,CHEMBL1257737,CHEMBL1257737,chembl,-32.5209312439,33.029548645
307,CHEMBL1257856,CHEMBL1257856,chembl,-41.9531745911,38.3195762634
308,CHEMBL1257857,CHEMBL1257857,chembl,-42.0221557617,38.0060310364
309,CHEMBL1257858,CHEMBL1257858,chembl,-40.5903968811,31.7124481201
310,CHEMBL1257859,CHEMBL1257859,chembl,-40.8847618103,32.8472824097
311,CHEMBL1257968,CHEMBL1257968,chembl,-41.6191368103,37.5227928162
312,CHEMBL1257969,CHEMBL1257969,chembl,-35.2471809387,30.0591602325
313,CHEMBL1257970,CHEMBL1257970,chembl,-41.138874054,31.6661472321
314,CHEMBL1257971,CHEMBL1257971,chembl,-41.351726532,32.6363334656
315,CHEMBL1258084,CHEMBL1258084,chembl,-35.2561988831,28.6840572357
316,CHEMBL1258085,CHEMBL1258085,chembl,-35.6422309875,29.8905982971
317,CHEMBL1258086,CHEMBL1258086,chembl,-40.2719955444,31.8411464691
318,CHEMBL1258087,CHEMBL1258087,chembl,-40.5310440063,32.8046035767
319,CHEMBL1258199,CHEMBL1258199,chembl,-35.6611175537,28.8699054718
320,CHEMBL1258200,CHEMBL1258200,chembl,-34.7513885498,29.962677002
321,CHEMBL1258312,CHEMBL1258312,chembl,-23.6728363037,30.1591377258
322,CHEMBL1258313,CHEMBL1258313,chembl,-34.747592926,28.8332099915
323,CHEMBL1258314,CHEMBL1258314,chembl,-34.7442817688,29.96068573
324,CHEMBL1258425,CHEMBL1258425,chembl,-22.8524684906,29.6127586365
325,CHEMBL1258426,CHEMBL1258426,chembl,-23.5236759186,30.194606781
326,CHEMBL1258427,CHEMBL1258427,chembl,-34.7422561646,28.8295383453
327,CHEMBL1258428,CHEMBL1258428,chembl,-36.7124671936,33.8482093811
328,CHEMBL1258532,CHEMBL1258532,chembl,-23.2319774628,29.6855678558
329,CHEMBL1258533,CHEMBL1258533,chembl,-38.4343223572,35.8740196228
330,CHEMBL1258533,CHEMBL1258533,chembl,-38.4302558899,35.8791847229
331,CHEMBL1258534,CHEMBL1258534,chembl,-38.4677581787,32.471862793
332,CHEMBL1258535,CHEMBL1258535,chembl,-36.6939849854,32.9928359985
333,CHEMBL1258647,CHEMBL1258647,chembl,-40.2768821716,34.7992630005
334,CHEMBL1258647,CHEMBL1258647,chembl,-40.258266449,34.7882118225
335,CHEMBL1258648,CHEMBL1258648,chembl,-38.2169151306,35.1111221313
336,CHEMBL1258649,CHEMBL1258649,chembl,-37.8061828613,32.1221122742
337,CHEMBL1258650,CHEMBL1258650,chembl,-37.1491966248,33.6592216492
338,CHEMBL1258760,CHEMBL1258760,chembl,-39.689414978,34.283744812
